date,Battery (Charging) -  GWh,Pumps -  GWh,Coal (Brown) -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Wind (Curtailment) -  GWh,Solar (Utility) (Curtailment) -  GWh,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Brown) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2000-08-01,0.00,-122.87,4164.90,9553.45,0.00,2.30,327.16,235.99,214.11,0.00,0.00,0.00,739.11,0.00,0.00,0.00,0.00,0.00,5366620.30,8840084.23,0.00,2414.21,187890.03,137092.29,160871.69,0.00,0.00,972.27,55.33,0.00,3794339.69,241770713.82,471292291.36,0.00,284147.14,24061621.26,14461002.58,15774052.83,0.00,0.00,0.00,49165639.55,0.00,0.00,0.00
2000-09-01,0.00,-22.14,4170.28,8348.28,0.00,0.05,192.77,224.37,149.71,0.00,0.00,0.00,663.00,0.00,0.00,0.00,0.00,0.00,5341969.72,7769052.82,0.00,48.63,110994.67,131755.53,109181.46,0.00,0.00,980.82,27.65,0.00,478015.84,106504243.36,225750663.91,0.00,5465.81,7496728.84,6731562.06,5099794.80,0.00,0.00,0.00,16370631.89,0.00,0.00,0.00
2000-10-01,0.00,-12.16,4331.62,8452.48,0.00,4.50,211.74,230.20,159.56,0.00,0.00,0.00,595.87,0.00,0.00,0.00,0.00,0.00,5527820.41,7909286.16,0.00,4726.83,121921.50,133286.81,116188.03,0.00,0.00,988.51,37.63,0.00,251549.05,127391699.97,329753047.28,0.00,574018.49,10236044.55,9386608.77,10537063.14,0.00,0.00,0.00,20881477.75,0.00,0.00,0.00
2000-11-01,0.00,-67.66,4268.18,8485.07,0.00,8.40,259.38,225.93,160.04,0.00,0.00,0.00,381.51,0.00,0.00,0.00,0.00,0.00,5437848.62,7871850.59,0.00,8866.28,148926.56,130633.43,117020.64,0.00,0.00,999.58,37.74,0.00,1257400.86,145072095.38,299908040.19,0.00,503359.86,17232666.10,10557901.32,8908544.71,0.00,0.00,0.00,15023640.02,0.00,0.00,0.00
2000-12-01,0.00,-106.34,4689.28,8590.24,0.00,5.36,227.50,265.25,119.25,0.00,0.00,0.00,375.26,0.00,0.00,0.00,0.00,0.00,5977952.97,7943840.09,0.00,5611.21,130837.28,144597.08,93070.84,0.00,0.00,1009.18,32.04,0.00,2048400.14,118244506.65,285079309.22,0.00,669109.78,10490974.00,9056560.36,7032590.47,0.00,0.00,0.00,12972462.83,0.00,0.00,0.00
2001-01-01,0.00,-142.38,4669.93,8829.50,0.00,5.06,466.39,346.34,158.22,0.00,0.00,0.00,508.27,0.00,0.00,0.00,0.00,0.00,5979257.02,8159499.91,0.00,5523.13,265065.29,176099.32,125417.14,0.00,0.00,991.21,70.99,0.00,3336740.99,251645647.54,604736912.56,0.00,2181273.52,56026811.02,26367509.68,22907992.54,0.00,0.00,0.00,84870767.93,0.00,0.00,0.00
2001-02-01,0.00,-124.79,4303.87,8277.61,0.00,2.38,425.74,359.54,123.35,0.00,0.00,0.00,456.67,0.00,0.00,0.00,0.00,0.00,5528776.17,7653686.27,0.00,2741.30,240886.58,178102.04,96277.01,0.00,0.00,991.04,40.35,0.00,2586297.81,183100242.06,275992695.98,0.00,558926.89,32251034.68,18122887.96,8929130.90,0.00,0.00,0.00,22652750.16,0.00,0.00,0.00
2001-03-01,0.00,-107.92,4499.10,8824.49,0.00,1.89,322.16,415.32,123.10,0.00,0.00,0.00,477.92,0.00,0.00,0.00,0.00,0.00,5788725.47,8232999.94,0.00,1986.35,181647.27,206142.75,96622.53,0.00,0.00,996.71,39.25,0.00,2382265.95,143565034.15,353244958.39,0.00,713189.47,13790584.95,18026310.24,9194068.08,0.00,0.00,0.00,21644985.35,0.00,0.00,0.00
2001-04-01,0.00,-68.24,4360.55,8174.15,0.00,0.06,242.88,348.84,82.94,0.00,0.00,0.00,373.72,0.00,0.00,0.00,0.00,0.00,5573878.34,7582900.38,0.00,59.74,138033.88,171531.07,60921.87,0.00,0.00,1000.92,30.92,0.00,1479405.86,122783892.16,252287126.24,0.00,10945.66,9351030.22,11755065.37,3150703.79,0.00,0.00,0.00,12535252.49,0.00,0.00,0.00
2001-05-01,0.00,-32.36,4435.20,8943.95,0.00,0.18,413.54,423.96,56.60,0.00,0.00,0.00,663.22,0.00,0.00,0.00,0.00,0.00,5640388.43,8286144.70,0.00,183.16,231122.31,212270.52,45421.58,0.00,0.00,967.21,37.16,0.00,810321.05,152295935.13,334117150.98,0.00,11579.62,16827923.71,16893827.32,2722179.36,0.00,0.00,0.00,26867700.78,0.00,0.00,0.00
